Youthful Glow Foundation Serum Drops	Ulta	224	197	180	https://www.ulta.com/p/youthful-glow-foundation-serum-drops-pimprod2003097?sku=2569107	ULTA Beauty Collection	Fair Cool	16.0
Even Better Clinical Serum Foundation Broad Spectrum SPF 25	Ulta	237	211	188	https://www.ulta.com/p/even-better-clinical-serum-foundation-broad-spectrum-spf-25-pimprod2021174?sku=2574625	Clinique	WN 01 Flax	44.0
Beyond Perfecting Powder Foundation + Concealer	Ulta	226	181	140	https://www.ulta.com/p/beyond-perfecting-powder-foundation-concealer-xlsImpprod12991071?sku=2291647	Clinique	02 Alabaster	37.0
Bare With Me Blur Tint Soft Matte Foundation	Ulta	230	153	111	https://www.ulta.com/p/bare-with-me-blur-tint-soft-matte-foundation-pimprod2036633?sku=2602456	NYX Professional Makeup	Golden	14.0
Bare With Me Blur Tint Soft Matte Foundation	Ulta	242	207	188	https://www.ulta.com/p/bare-with-me-blur-tint-soft-matte-foundation-pimprod2036633?sku=2601290	NYX Professional Makeup	Pale	14.0
COMPLEXION RESCUE Tinted Moisturizer Broad Spectrum SPF 30	Ulta	235	195	159	https://www.ulta.com/p/complexion-rescue-tinted-moisturizer-broad-spectrum-spf-30-xlsImpprod11771035?sku=2283389	bareMinerals	Opal 01	37.0
Skin by Mented Foundation	Ulta	109	64	58	https://www.ulta.com/p/skin-by-mented-foundation-pimprod2022002?sku=2578536	mented cosmetics	D30	30.0
Pro Filt'r Soft Matte Powder Foundation	Ulta	131	71	47	https://www.ulta.com/p/pro-filtr-soft-matte-powder-foundation-pimprod2031422?sku=2592370	FENTY BEAUTY by Rihanna	460	40.0
Pro Filt'r Soft Matte Powder Foundation	Ulta	214	160	122	https://www.ulta.com/p/pro-filtr-soft-matte-powder-foundation-pimprod2031422?sku=2592423	FENTY BEAUTY by Rihanna	260	40.0
Pro.Matte Foundation	Ulta	183	136	92	https://www.ulta.com/p/promatte-foundation-xlsImpprod17631407?sku=2522800	L.A. Girl	Sand	8.99
Travel-Size Babassu Foundcealer Dewy Foundation SPF 20	Ulta	234	200	173	https://www.ulta.com/p/travel-size-babassu-foundcealer-dewy-foundation-spf-20-pimprod2014095?sku=2557015	Tarte	13N Fair Neutral	16.0
Bare With Me Blur Tint Soft Matte Foundation	Ulta	232	182	157	https://www.ulta.com/p/bare-with-me-blur-tint-soft-matte-foundation-pimprod2036633?sku=2601293	NYX Professional Makeup	Light Neutral	14.0
High Fidelity Foundation	Ulta	217	173	144	https://www.ulta.com/p/high-fidelity-foundation-pimprod2019009	Exa	320 Laura	38.0
Conceal & Define Satte Matte Powder Foundation	Ulta	243	227	214	https://www.ulta.com/p/conceal-define-satte-matte-powder-foundation-pimprod2012988?sku=2554174	Makeup Revolution	P0.1	11.0
Superpowder Double Face Makeup Foundation	Ulta	233	192	162	https://www.ulta.com/p/superpowder-double-face-makeup-foundation-xlsImpprod10791897?sku=2260623	Clinique	Matte Cream	37.0
Infallible Fresh Wear 24HR Foundation	Ulta	74	47	38	https://www.ulta.com/p/infallible-fresh-wear-24hr-foundation-pimprod2002481?sku=2538154	L'Oréal	545 Ebony	15.99
