Aqua Foundation	Sephora	236	196	171	https://www.sephora.com/product/aqua-foundation-P431509?skuId=2082618	Koh Gen Do	123	96.0
The Soft Fluid Long Wear Foundation SPF 20	Sephora	255	215	193	https://www.sephora.com/product/the-soft-fluid-long-wear-foundation-spf-20-P423742?skuId=1999887	La Mer	110 Shell	140.0
Positive Light Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen	Sephora	247	213	185	https://www.sephora.com/product/rare-beauty-by-selena-gomez-positive-light-tinted-moisturizer-broad-spectrum-spf-20-sunscreen-P482729?skuId=2557072	Rare Beauty by Selena Gomez	20W	30.0
10 Hour Wear Perfection Foundation	Sephora	115	81	79	https://www.sephora.com/product/10-hr-wear-perfection-foundation-P379509?skuId=2222248	SEPHORA COLLECTION	59 Mahogany	20.0
Born This Way Natural Finish Longwear Liquid Foundation	Sephora	248	216	195	https://www.sephora.com/product/born-this-way-P397517?skuId=1711944	Too Faced	Nude	45.0
Light Reflecting Advanced Skincare Foundation	Sephora	248	227	196	https://www.sephora.com/product/nars-light-reflecting-advance-skincare-foundation-P479338?skuId=2514560	NARS	Aruba	50.0
Halo Healthy Glow Tinted Moisturizer Broad Spectrum SPF 25 with Hyaluronic Acid	Sephora	129	80	50	https://www.sephora.com/product/smashbox-halo-healthy-glow-tinted-moisturizer-broad-spectrum-spf-25-P460019?skuId=2376671	Smashbox	Tan Dark	41.0
Double Wear Stay-in-Place Foundation	Sephora	148	113	85	https://www.sephora.com/product/double-wear-stay-in-place-makeup-P378284?skuId=1465277	Estée Lauder	1W2 Sand	48.0
Triple Fix Serum Foundation	Sephora	66	37	23	https://www.sephora.com/product/lys-beauty-triple-fix-serum-foundation-P468380?skuId=2435600	LYS Beauty	TN3	24.0
Maracuja Juicy Glow Skin Tint	Sephora	247	208	167	https://www.sephora.com/product/tarte-maracuja-juicy-foundation-P505127?skuId=2642189	tarte	61N Espresso Neutral	40.0
True Skin Medium Coverage Serum Foundation with Niacinamide	Sephora	226	204	183	https://www.sephora.com/product/true-skin-serum-foundation-P429548?skuId=2527802	ILIA	Flores SF13.5	54.0
Tinted Moisturizer Oil Free Natural Skin Perfector Broad Spectrum SPF 20	Sephora	255	206	174	https://www.sephora.com/product/tinted-moisturizer-broad-spectrum-oil-free-P140906?skuId=2449379	Laura Mercier	6N1 Mocha	53.0
SEA Hydroflex™ Serum Foundation	Sephora	249	222	211	https://www.sephora.com/product/tarte-sea-hydroflex-trade-serum-foundation-P473000?skuId=2453611	tarte	12B fair beige	19.0
Luminous Foundation	Sephora	224	208	193	https://www.sephora.com/product/luminous-foundation-P449124?skuId=2270619	Anastasia Beverly Hills	110C	38.0
Luminous Silk Perfect Glow Flawless Oil-Free Foundation	Sephora	233	202	173	https://www.sephora.com/product/luminous-silk-foundation-P393401	Armani Beauty	7.5	69.0
#FauxFilter Skin Finish Buildable Coverage Foundation Stick	Sephora	255	224	204	https://www.sephora.com/product/huda-beauty-fauxfilter-skin-finish-buildable-coverage-foundation-stick-P465324	HUDA BEAUTY	300N Latte	39.0
Sheer Glow Foundation	Sephora	175	133	111	https://www.sephora.com/product/sheer-glow-foundation-P247355?skuId=2165736	NARS	Valencia	47.0
Even Better Clinical™ Serum Foundation Broad Spectrum SPF 25	Sephora	222	203	189	https://www.sephora.com/product/clinique-even-better-clinical-serum-foundation-broad-spectrum-spf-25-P468639?skuId=2422723	CLINIQUE	CN 126 Espresso	44.0
Sunshine Skin Tint Clean SPF 30 Foundation	Sephora	242	206	184	https://www.sephora.com/product/sunshine-skin-tint-spf-30-P410176?skuId=2414258	MILK MAKEUP	Medium	42.0
Mini Tinted Moisturizer Oil Free Natural Skin Perfector Broad Spectrum SPF 20	Sephora	255	206	174	https://www.sephora.com/product/laura-mercier-mini-tinted-moisturizer-broad-spectrum-spf-20-oil-free-P466665?skuId=2454437	Laura Mercier	3C1 Fawn	29.0
#FauxFilter Luminous Matte Foundation	Sephora	245	230	225	https://www.sephora.com/product/huda-beauty-faux-filter-luminous-matte-foundation-P467625?skuId=2425403	HUDA BEAUTY	310G Amaretti	42.0
#FauxFilter Skin Finish Buildable Coverage Foundation Stick	Sephora	255	224	204	https://www.sephora.com/product/huda-beauty-fauxfilter-skin-finish-buildable-coverage-foundation-stick-P465324	HUDA BEAUTY	300N Latte	39.0
Original Loose Powder Mineral Foundation SPF 15	Sephora	199	171	147	https://www.sephora.com/product/bareminerals-original-foundation-broad-spectrum-spf-15-P61003?skuId=1922558	bareMinerals	Neutral Ivory 06	38.0
Tinted Cover Skin Tint Foundation	Sephora	244	187	160	https://www.sephora.com/product/nudies-tinted-cover-foundation-P448152?skuId=2661460	NUDESTIX	NUDE 1	36.0
Luminous Silk Perfect Glow Flawless Oil-Free Foundation	Sephora	233	202	173	https://www.sephora.com/product/luminous-silk-foundation-P393401	Armani Beauty	7.5	69.0
